word	count
enron	4934
subject	2142
please	1739
thanks	1110
message	980
forwarded	901
original	799
email	783
energy	692
power	642
information	637
attached	558
market	521
meeting	514
business	459
questions	456
group	433
company	428
enronxgate	426
houston	421
monday	418
david	418
image	405
think	394
price	389
agreement	381
today	375
final	367
friday	364
following	361
contact	358
scheduled	355
october	354
schedule	352
going	348
services	348
chris	340
first	334
contract	320
november	314
review	310
trading	305
credit	300
report	299
office	298
vince	297
forward	296
error	295
north	295
service	293
thursday	291
management	289
number	288
access	287
senron	286
phone	286
tuesday	284
available	281
issues	281
thank	278
legal	272
system	272
america	269
california	264
london	262
still	255
received	253
provide	253
working	252
project	251
process	249
communications	249
request	247
wednesday	246
change	244
outages	241
steve	239
draft	238
click	234
center	232
financial	232
order	230
deals	226
scott	226
great	225
customers	224
since	223
database	222
comments	220
employees	217
michael	217
regards	216
right	215
james	204
changes	203
january	201
program	201
details	199
natural	199
discuss	199
