word	count
enron	748554
subject	316230
please	262694
thanks	156227
message	151895
email	132900
forwarded	129515
original	121838
energy	100510
information	97509
power	96758
attached	82012
meeting	75925
houston	72357
image	72353
market	71453
business	71220
company	68731
questions	65928
group	62510
enronxgate	58696
agreement	58154
trading	55565
following	55193
today	55173
david	54958
vince	54199
monday	53824
friday	53445
think	52688
price	52291
services	52139
report	51455
communications	49704
contact	49691
october	48165
review	46306
final	46229
available	46066
contract	44731
